manufacturer,vehicle_type,charging_type_last,drive_config,battery_chemistry,model_year,battery_capacity_kwh,battery_age_years,battery_health_pct,motor_power_kw,vehicle_weight_kg,drag_coefficient,tire_type,ambient_temp_c,hvac_usage,avg_speed_kmh,elevation_change_m,num_passengers,cargo_weight_kg,regenerative_braking,driving_mode,wind_speed_kmh,actual_range_km
Lucid,SUV,DC Fast Charge,,LFP,2023.0,129.6,3.0,75.7,310.0,2485.0,0.496,Low Rolling Resistance,38.0,Max Cool,101.1,217.4,6.0,385.0,High,Off-Road,,314.4
NIO,,Supercharger,4WD,NMCA,2023.0,80.2,7.0,83.1,557.0,1555.0,,,42.3,Cooling,105.0,-380.1,2.0,166.0,Low,Normal,53.4,699.8
VW,Crossover,Level 2,AWD,LFP,2019.0,100.4,5.0,,507.0,2127.0,0.498,Standard,28.0,None,68.8,-196.6,6.0,496.0,Medium,Off-Road,74.9,696.2
,,DC Fast Charge,FWD,,2018.0,114.3,8.0,,80.0,3165.0,0.294,All-Terrain,38.1,Max Cool,51.8,65.0,4.0,404.0,Off,,10.3,544.1
Audi,SUV,Wireless,RWD,Solid State,2017.0,110.9,5.0,86.8,193.0,3589.0,0.242,All-Terrain,,Max Heat,101.2,,3.0,375.0,Off,Sport,34.4,132.2
BYD,Hatchback,Level 1,AWD,Solid State,2021.0,,,61.6,558.0,3378.0,0.425,All-Terrain,-17.7,Max Cool,90.8,111.9,2.0,422.0,Medium,Chill,18.0,264.2
Lucid,SUV,Supercharger,AWD,NCA,2022.0,99.3,8.0,75.2,570.0,1561.0,0.428,All-Terrain,11.2,Max Cool,78.5,107.5,,,High,Off-Road,,131.3
,Hatchback,Level 1,,NMCA,2017.0,59.9,0.0,84.1,191.0,2334.0,0.388,Standard,-10.4,Cooling,,208.6,6.0,289.0,Max,Off-Road,61.4,87.9
VW,Crossover,Wireless,4WD,NMC,2019.0,35.5,3.0,85.0,688.0,2290.0,0.216,Low Rolling Resistance,-4.5,Cooling,45.8,,1.0,0.0,Low,Off-Road,38.8,369.5
Hyundai,Truck,Supercharger,AWD,Solid State,2021.0,77.9,9.0,77.5,,2238.0,0.353,,5.9,Max Heat,,,6.0,255.0,,Normal,,209.5
VW,Van,Level 1,FWD,NCA,2023.0,69.3,1.0,74.9,331.0,1592.0,0.364,,20.4,,63.0,319.3,2.0,26.0,Medium,Eco,77.6,150.9
BMW,,,4WD,NCA,2017.0,81.9,6.0,79.7,305.0,2209.0,0.475,Performance,-0.5,None,64.6,402.4,6.0,324.0,Off,Normal,58.8,466.0
,Sedan,Level 2,,LFP,2017.0,,,97.6,59.0,3017.0,0.44,All-Terrain,3.7,Max Cool,67.6,308.6,3.0,293.0,,Chill,53.6,457.6
vw,Truck,DC Fast Charge,AWD,LFP,2018.0,40.7,1.0,67.3,113.0,3153.0,0.395,Performance,,Heating,116.7,375.0,6.0,244.0,Off,,9.3,199.5
Polestar,Sedan,Supercharger,,NMCA,2016.0,,0.0,60.8,,3583.0,0.343,,31.2,None,,-434.1,5.0,498.0,,Sport,51.4,257.2
polestar,,Level 2,,,2021.0,77.7,7.0,96.2,350.0,,0.26,Low Rolling Resistance,20.1,Cooling,70.5,,1.0,195.0,Low,Eco,,200.4
,Sports Car,DC Fast Charge,AWD,NMC,,59.2,9.0,,127.0,3212.0,0.219,Performance,-12.6,Cooling,,-316.1,,315.0,High,Normal,60.2,220.2
Tesla,SUV,Level 2,4WD,Solid State,2023.0,91.6,1.0,63.7,,3838.0,0.412,All-Terrain,29.5,Max Cool,,-15.3,6.0,328.0,Medium,Chill,63.6,347.4
BMW,Van,Supercharger,4WD,LFP,,120.9,9.0,83.8,,1832.0,0.481,,26.8,,,183.9,6.0,63.0,Low,Chill,,620.1
tesla ,Sedan,Supercharger,FWD,NCA,,59.2,3.0,83.0,537.0,2467.0,0.317,All-Terrain,10.0,Heating,28.9,-452.4,2.0,135.0,High,Sport,63.2,542.1
BMW,Crossover,Supercharger,,LFP,2020.0,122.5,,94.5,,1755.0,0.481,All-Terrain,-16.6,Heating,51.0,-209.3,6.0,27.0,High,Off-Road,38.0,206.0
,Truck,,RWD,NCA,2019.0,94.9,0.0,62.8,,1867.0,0.468,Standard,5.8,Max Heat,84.3,-321.5,3.0,,High,Eco,45.0,117.4
,Hatchback,Supercharger,AWD,NCA,2020.0,56.5,5.0,61.8,159.0,1762.0,0.328,All-Terrain,36.0,,75.6,-27.8,1.0,,Max,Off-Road,59.2,353.0
BYD ,Sedan,Level 1,AWD,LFP,2016.0,47.5,6.0,90.8,291.0,1778.0,,Performance,-2.0,Heating,,-11.1,1.0,,High,Chill,20.0,113.9
tesla ,Crossover,DC Fast Charge,4WD,NCA,2017.0,125.0,4.0,80.5,237.0,3016.0,0.211,Low Rolling Resistance,-16.0,Cooling,,215.7,2.0,436.0,Off,Eco,74.7,392.9
,Truck,Wireless,4WD,NMCA,2021.0,103.5,,88.1,173.0,2793.0,0.22,All-Terrain,40.4,Max Cool,42.4,,2.0,29.0,,Off-Road,,530.6
BYD,Hatchback,Level 2,4WD,Solid State,,31.3,3.0,,284.0,1841.0,,Standard,14.0,Max Heat,,118.9,2.0,0.0,Medium,Normal,45.9,604.6
Audi,Sedan,Level 1,AWD,Solid State,2018.0,28.2,1.0,85.2,417.0,2654.0,0.298,Standard,-3.1,Max Heat,110.3,-122.1,1.0,154.0,Off,Chill,60.8,214.0
NIO ,Sports Car,Wireless,RWD,LFP,2022.0,,,71.4,683.0,2950.0,0.351,Low Rolling Resistance,6.2,Max Cool,129.6,-79.8,6.0,460.0,,Eco,44.5,105.3
NIO,Hatchback,Supercharger,4WD,LFP,2021.0,53.2,1.0,71.7,427.0,,0.488,Standard,,None,55.9,,,28.0,High,Chill,65.4,554.9
Lucid,Crossover,Level 1,,Solid State,2017.0,57.1,9.0,90.9,589.0,,0.412,All-Terrain,2.5,Cooling,42.0,335.8,3.0,,Medium,Eco,,394.8
NIO,Hatchback,DC Fast Charge,4WD,NMC,2015.0,,7.0,62.9,322.0,3408.0,0.384,All-Terrain,28.7,Heating,60.0,,2.0,382.0,Medium,Chill,44.0,215.7
NIO ,Sports Car,DC Fast Charge,RWD,Solid State,2024.0,92.2,1.0,73.0,491.0,2996.0,0.303,Low Rolling Resistance,-14.2,Max Heat,36.2,,,215.0,Max,Sport,47.0,372.4
Tesla,Sports Car,DC Fast Charge,4WD,,,51.6,5.0,,169.0,2252.0,0.245,Standard,34.4,Cooling,78.8,-23.7,3.0,287.0,High,Off-Road,64.7,126.5
BYD,Truck,Wireless,,,2017.0,42.9,7.0,81.1,340.0,,0.281,Standard,-0.4,Max Heat,,-281.9,2.0,383.0,Off,Normal,,447.5
Hyundai,Truck,Level 1,,LFP,,105.9,1.0,,544.0,2027.0,0.401,Performance,27.8,Max Heat,53.2,-38.6,5.0,,,,36.3,131.8
BYD,Sports Car,DC Fast Charge,4WD,LFP,2024.0,118.6,8.0,77.7,210.0,1389.0,0.237,All-Terrain,42.6,Max Cool,113.0,-64.5,6.0,352.0,Medium,Normal,25.7,106.7
byd,SUV,,AWD,NMCA,2018.0,100.3,1.0,92.2,163.0,3319.0,0.352,All-Terrain,-6.4,Max Cool,120.3,-492.1,,264.0,Max,Off-Road,30.6,629.0
Lucid,Sports Car,,,NMC,2019.0,120.6,9.0,88.8,405.0,3500.0,0.315,,-8.3,,76.7,-34.9,3.0,95.0,Off,Chill,17.4,92.3
Hyundai,Sedan,Supercharger,AWD,Solid State,2018.0,118.2,3.0,96.5,175.0,3431.0,0.497,Standard,28.9,None,,101.8,,462.0,Max,Sport,47.3,350.8
Rivian,Hatchback,Level 1,AWD,NMCA,2017.0,121.2,1.0,80.0,682.0,2222.0,0.291,Standard,42.9,Heating,114.7,-278.0,5.0,48.0,High,Normal,61.2,354.3
AUDI,Sports Car,Supercharger,RWD,Solid State,,,,65.8,572.0,3168.0,0.418,Low Rolling Resistance,-6.9,,79.9,161.8,2.0,,Low,,45.6,467.6
rivian,Sedan,Wireless,4WD,LFP,2024.0,37.8,1.0,66.6,464.0,1686.0,0.202,Performance,,Heating,,-142.6,3.0,178.0,,Off-Road,18.6,171.2
rivin,Sports Car,Level 2,RWD,NMC,2016.0,69.8,0.0,69.1,331.0,3487.0,0.281,Performance,15.5,None,76.6,154.1,4.0,178.0,,Chill,72.3,376.5
VW,Sports Car,Supercharger,FWD,,2016.0,129.6,8.0,92.0,370.0,2045.0,0.357,All-Terrain,,Heating,61.0,-439.6,6.0,409.0,,Chill,47.8,162.4
AUDI,SUV,Supercharger,4WD,,2019.0,100.1,7.0,74.6,115.0,2062.0,0.407,Performance,-10.2,None,51.6,-106.5,5.0,179.0,Max,,53.0,275.2
NIO,Hatchback,Level 2,4WD,,2019.0,103.1,,75.3,359.0,,0.294,Performance,,None,31.8,,5.0,84.0,,Chill,47.2,325.2
Polestar,Van,Wireless,4WD,NMC,2015.0,,7.0,90.8,303.0,1903.0,0.339,Low Rolling Resistance,,Max Cool,57.6,-351.1,,252.0,Off,Chill,,179.4
Hyundai,Van,Wireless,,NMC,2022.0,38.4,8.0,61.6,599.0,,0.263,Performance,,None,112.1,,,439.0,High,Off-Road,14.9,301.2
Tesla,Crossover,Wireless,FWD,NMC,,84.4,0.0,94.1,53.0,2147.0,0.409,Standard,34.0,None,54.6,350.0,3.0,498.0,Medium,Sport,74.9,250.1
BMW,,Wireless,4WD,NMC,2023.0,47.2,0.0,91.6,425.0,3446.0,0.325,,7.4,Max Heat,54.0,137.8,,490.0,High,Eco,,6300.916650425509
BYD,Crossover,Level 1,4WD,Solid State,2016.0,118.2,7.0,82.0,482.0,1267.0,0.202,,11.2,,,449.1,5.0,,Low,,11.9,448.8
bmw,Truck,Supercharger,4WD,NMCA,2020.0,79.9,0.0,94.9,281.0,3563.0,0.296,Performance,10.3,None,126.1,397.3,3.0,98.0,Off,Off-Road,12.6,911.9956358614311
Tesla,Truck,Supercharger,RWD,,2020.0,103.1,,,312.0,,0.256,Low Rolling Resistance,1.9,Max Cool,74.8,,4.0,197.0,,Eco,25.2,124.4
,Truck,DC Fast Charge,FWD,NCA,2024.0,78.6,0.0,91.3,486.0,2962.0,,Standard,12.5,,101.4,135.1,3.0,304.0,,Chill,56.7,88.7
Rivian,Crossover,Supercharger,4WD,Solid State,2024.0,,0.0,63.7,374.0,2981.0,0.486,Low Rolling Resistance,38.6,Cooling,82.4,269.2,4.0,244.0,High,Normal,26.6,630.7
NIO ,Crossover,Supercharger,4WD,NMCA,2016.0,124.1,3.0,83.8,,2653.0,0.5,All-Terrain,-8.0,Heating,121.9,446.7,,40.0,Off,Off-Road,46.5,80.1
VW,Van,Supercharger,FWD,Solid State,2015.0,92.8,1.0,66.6,,3306.0,0.408,,-2.4,Max Heat,124.8,-188.7,3.0,222.0,Off,Normal,,660.5
Audi,SUV,,,LFP,2020.0,48.4,9.0,73.6,,3448.0,0.437,All-Terrain,-18.0,Cooling,,-1.7,,,Off,Chill,69.0,327.1
Lucid,Crossover,Level 1,FWD,,2016.0,126.9,0.0,94.5,422.0,1523.0,0.295,All-Terrain,-11.6,Max Heat,83.5,-292.4,,24.0,High,Normal,,415.5
Audi,Crossover,Level 2,FWD,NMCA,2024.0,128.3,5.0,68.2,230.0,3999.0,0.453,Performance,20.4,Heating,,-353.5,2.0,248.0,Low,Normal,70.4,179.4
VW,Truck,Wireless,AWD,NMCA,,84.0,4.0,72.6,582.0,1209.0,0.421,Low Rolling Resistance,-0.0,Max Heat,87.8,-300.3,2.0,365.0,Off,Chill,1.5,581.6
BYD,Sports Car,Level 1,FWD,NMC,2016.0,20.0,8.0,63.4,649.0,1665.0,0.388,Low Rolling Resistance,32.9,None,71.1,-163.9,3.0,,Low,Sport,56.6,552.1
Hyundai,Sedan,Level 2,FWD,LFP,2019.0,44.3,9.0,96.4,,3644.0,0.456,All-Terrain,44.8,Cooling,97.6,-53.6,,212.0,High,,10.0,151.6
Rivian,Truck,,FWD,NMC,2016.0,,5.0,90.5,526.0,,0.498,Standard,42.2,,,387.7,1.0,103.0,Max,Off-Road,48.1,310.7
Tesla,Hatchback,DC Fast Charge,AWD,NMC,2016.0,25.7,4.0,90.2,182.0,2651.0,0.33,All-Terrain,24.2,None,125.0,-436.7,6.0,352.0,Medium,,24.6,5344.760307239587
Hyundai,SUV,Level 1,AWD,NMCA,2020.0,,8.0,98.3,597.0,2895.0,,Performance,-10.0,None,25.0,139.4,1.0,,High,Chill,56.1,188.5
RIVIAN,Sports Car,Level 2,RWD,,2023.0,81.2,6.0,89.1,532.0,2077.0,0.314,Standard,-4.5,Heating,82.9,,1.0,143.0,Medium,Normal,79.2,333.3
Lucid,Hatchback,Level 1,FWD,NMCA,2020.0,40.4,8.0,65.8,595.0,2502.0,0.393,Performance,-16.5,Max Heat,21.0,-30.0,1.0,,Low,Sport,72.7,313.5
BYD,SUV,Supercharger,RWD,LFP,,117.9,7.0,68.7,516.0,2325.0,,Low Rolling Resistance,39.1,Cooling,100.1,133.9,4.0,,Max,,76.8,531.2
Rivian,Sports Car,Supercharger,AWD,NMCA,2019.0,67.3,8.0,76.5,538.0,3862.0,,Standard,6.9,Heating,53.5,-128.3,1.0,,Medium,Sport,20.4,294.7
,Crossover,Supercharger,,LFP,2021.0,59.4,0.0,73.8,636.0,3933.0,0.242,Performance,-10.0,Heating,65.3,-442.2,1.0,,Medium,Sport,35.6,257.0
Audi,Hatchback,Supercharger,FWD,NMCA,2020.0,48.7,1.0,80.2,286.0,2777.0,0.347,Low Rolling Resistance,-17.5,Max Heat,23.3,,6.0,165.0,Max,Eco,14.3,266.3
Tesla,Sports Car,Level 2,4WD,NCA,2024.0,21.6,5.0,91.6,178.0,2075.0,0.319,Low Rolling Resistance,37.4,Max Heat,,,1.0,13.0,Low,Eco,,522.3
Rivian,Crossover,Level 2,4WD,Solid State,2015.0,,8.0,65.7,50.0,3543.0,0.349,Low Rolling Resistance,31.1,Max Heat,30.5,-381.0,3.0,332.0,,Off-Road,27.7,323.4
Lucid,,Level 2,4WD,NCA,2021.0,42.9,6.0,68.5,348.0,1420.0,,,11.6,None,53.6,,4.0,268.0,Medium,Normal,3.4,591.0
Lucid,SUV,Wireless,FWD,LFP,2018.0,93.4,,,573.0,1935.0,0.359,Low Rolling Resistance,18.4,None,51.7,-312.6,,59.0,Medium,Sport,57.9,166.2
Polestar,Sedan,DC Fast Charge,4WD,Solid State,2019.0,,8.0,77.2,432.0,3054.0,0.392,Low Rolling Resistance,19.2,Cooling,114.9,-242.4,4.0,228.0,Low,Chill,33.3,589.2
Hyundai,Van,Wireless,AWD,NMC,2017.0,79.5,2.0,89.3,,2555.0,0.46,Standard,21.4,,28.9,201.5,4.0,218.0,Low,Sport,57.2,102.7
VW,Crossover,Level 1,4WD,NCA,2018.0,30.2,6.0,69.0,679.0,3895.0,0.336,Low Rolling Resistance,-0.0,None,,,5.0,359.0,Off,Off-Road,52.9,186.0
VW,Sports Car,DC Fast Charge,,Solid State,2023.0,80.2,5.0,,613.0,3106.0,0.248,Standard,-19.2,Heating,108.1,-340.7,,251.0,High,Sport,,554.0
Hyundai,SUV,Supercharger,FWD,LFP,2015.0,35.1,3.0,99.1,383.0,3735.0,0.208,Low Rolling Resistance,-3.4,Heating,55.9,-335.0,2.0,3.0,High,Eco,10.3,381.1
Polestar,Hatchback,Supercharger,FWD,NMCA,2020.0,26.7,9.0,94.0,487.0,3283.0,0.284,,-3.9,Max Heat,26.3,152.6,1.0,377.0,Max,Chill,21.7,332.0
Hyundai,,DC Fast Charge,4WD,NMC,2019.0,94.7,6.0,88.2,151.0,3297.0,0.48,Standard,37.3,None,119.3,-455.2,1.0,352.0,Max,,17.9,445.4
,Crossover,,RWD,NMC,2018.0,129.8,6.0,90.6,482.0,3884.0,0.385,Low Rolling Resistance,4.6,None,52.9,361.9,3.0,261.0,Low,Sport,49.5,345.6
TESLA,Hatchback,Wireless,AWD,NMC,2015.0,,,86.5,283.0,1943.0,0.303,Performance,42.2,Max Heat,78.6,,4.0,434.0,High,Normal,71.6,270.8
LUCID,,Level 2,AWD,NMCA,2022.0,49.3,6.0,79.9,85.0,3342.0,0.401,Low Rolling Resistance,-13.2,Max Heat,100.6,-57.3,4.0,277.0,,Chill,67.5,474.8
Rivian,Sports Car,Level 2,4WD,Solid State,2024.0,113.3,5.0,95.1,450.0,1822.0,0.473,All-Terrain,-14.3,Max Heat,109.5,-179.8,6.0,,Off,Sport,13.9,110.7
NIO,Sedan,Wireless,FWD,NMC,,,9.0,87.9,137.0,2740.0,,,37.3,Max Cool,,-223.4,6.0,188.0,Max,Chill,79.2,559.0
BMW,Sedan,Supercharger,AWD,Solid State,2022.0,,4.0,89.8,385.0,,0.203,Standard,-2.1,Heating,124.5,-122.6,5.0,78.0,,Eco,50.7,204.4
Hyundai,Van,Level 2,,NMCA,2015.0,70.2,7.0,90.6,111.0,2903.0,0.317,All-Terrain,-15.1,None,57.0,-134.3,5.0,470.0,Low,Eco,,597.7
hyundai,Hatchback,Supercharger,FWD,NCA,2019.0,121.2,9.0,77.3,675.0,1466.0,,All-Terrain,25.9,,41.9,-161.6,4.0,455.0,Max,Eco,30.9,183.4
NIO,Sports Car,Supercharger,,Solid State,2016.0,109.8,2.0,70.5,147.0,2607.0,0.314,Standard,36.3,Heating,95.6,-150.3,1.0,123.0,Low,Sport,46.9,608.3
NIO ,Truck,Supercharger,AWD,,,104.6,4.0,,479.0,1875.0,0.245,Standard,2.5,Heating,98.1,457.2,1.0,36.0,High,Off-Road,,132.5
VW,Hatchback,Wireless,RWD,NCA,2018.0,124.7,1.0,72.7,677.0,2736.0,0.275,,21.0,Max Heat,44.0,-261.1,2.0,66.0,High,Off-Road,37.4,334.4
VW,SUV,Level 2,AWD,,2016.0,33.2,7.0,90.7,573.0,1632.0,0.274,,15.3,Heating,73.1,-289.4,5.0,405.0,,Sport,9.6,682.4
Lucid,,Level 1,4WD,NMCA,2019.0,124.7,7.0,71.9,591.0,3357.0,0.317,Standard,36.5,Cooling,71.2,148.0,4.0,180.0,Medium,Chill,6.3,459.3
Lucid,Van,Level 1,FWD,NMC,2020.0,91.1,3.0,85.7,541.0,2478.0,0.21,,-1.4,Heating,,-322.3,1.0,217.0,Low,Off-Road,63.7,644.5
BMW,,Wireless,AWD,NMCA,2017.0,52.2,,,129.0,2105.0,,Standard,,Heating,90.5,-145.6,,68.0,High,Eco,71.2,244.3
LUCID,Crossover,Wireless,,LFP,2016.0,85.9,3.0,61.5,,2192.0,0.352,Standard,11.8,Max Cool,84.1,219.0,,191.0,Low,Sport,49.8,472.2
VW,Truck,DC Fast Charge,FWD,Solid State,2020.0,126.8,5.0,,528.0,3396.0,0.494,Low Rolling Resistance,44.3,Max Heat,117.6,,2.0,74.0,Low,Sport,,597.4
VW,Sports Car,Wireless,4WD,,2019.0,,0.0,72.6,135.0,1812.0,0.386,,27.5,Heating,74.8,42.8,3.0,278.0,Medium,Eco,55.7,341.7
BYD,Hatchback,Wireless,,NMCA,,125.9,1.0,75.2,450.0,1235.0,0.293,Performance,10.1,Max Heat,35.3,-183.9,5.0,107.0,Off,,47.8,413.7
Hyundai,SUV,Level 1,FWD,NMC,,55.1,7.0,99.0,320.0,3045.0,0.296,Performance,18.6,Max Heat,30.6,-107.3,3.0,179.0,,,73.7,347.1
NIO,Truck,Level 1,4WD,NCA,2017.0,67.4,8.0,67.3,,2666.0,,Standard,-19.9,Max Cool,100.5,-327.7,1.0,18.0,Low,Chill,52.6,537.7
BYD,Hatchback,Level 1,,Solid State,2020.0,129.3,3.0,92.5,104.0,2643.0,,Standard,2.5,Heating,29.8,36.1,,188.0,Low,Normal,24.9,578.7
Lucid,Van,DC Fast Charge,AWD,LFP,2017.0,,7.0,,149.0,3764.0,0.444,Low Rolling Resistance,21.1,,,-477.4,4.0,27.0,Medium,Chill,50.3,458.1
TESLA,Hatchback,DC Fast Charge,AWD,NMCA,2023.0,67.2,0.0,93.3,340.0,3627.0,0.217,,-18.7,Cooling,75.8,-379.1,5.0,213.0,Max,Eco,34.2,359.4
NIO,,DC Fast Charge,FWD,LFP,2021.0,99.0,7.0,98.4,,3908.0,0.323,All-Terrain,39.4,Heating,124.4,425.3,6.0,162.0,Max,Normal,74.2,682.9
Audi,Sedan,,,,2024.0,45.3,8.0,64.4,,,0.395,Performance,8.4,Max Heat,,345.7,1.0,421.0,Max,Sport,30.3,571.1
VW,Sports Car,,AWD,,,55.5,5.0,93.7,70.0,1905.0,0.462,All-Terrain,34.2,Max Cool,69.3,202.3,3.0,357.0,Off,Sport,7.6,610.2
lucid,Hatchback,DC Fast Charge,FWD,LFP,2021.0,91.7,7.0,81.7,,2781.0,0.347,Low Rolling Resistance,7.2,Cooling,82.2,-485.8,1.0,339.0,,Chill,69.4,631.6
Hyundai,Hatchback,Wireless,FWD,Solid State,2019.0,116.3,2.0,,547.0,2445.0,0.455,All-Terrain,,Max Heat,36.5,-431.0,6.0,183.0,Medium,Normal,69.5,418.3
Hyundai,Sports Car,Wireless,FWD,NMC,2015.0,66.3,0.0,97.2,603.0,2552.0,0.341,Low Rolling Resistance,-15.9,None,43.1,352.3,,312.0,Medium,Eco,34.6,343.6
BYD,Sports Car,Supercharger,,NCA,2024.0,123.6,3.0,79.3,273.0,3618.0,0.232,All-Terrain,7.6,Max Heat,,-1.9,2.0,,Low,,43.5,197.4
Lucid,SUV,Level 2,AWD,,2018.0,59.5,0.0,,513.0,2015.0,0.208,All-Terrain,-12.1,Heating,43.5,,5.0,75.0,Max,Sport,74.9,481.3
BMW,,Level 1,FWD,,2016.0,25.4,6.0,,587.0,1957.0,0.321,Low Rolling Resistance,40.4,None,128.5,-304.1,1.0,412.0,Max,Eco,70.3,91.3
VW,Sedan,Wireless,4WD,,2017.0,,3.0,85.1,238.0,3902.0,,Performance,28.7,Cooling,76.9,258.5,2.0,400.0,Max,Normal,61.4,84.8
VW,SUV,Supercharger,,LFP,2023.0,108.6,0.0,68.9,376.0,3032.0,,Low Rolling Resistance,25.0,Heating,68.5,-292.5,5.0,370.0,Medium,,25.6,276.5
BYD,Sedan,DC Fast Charge,4WD,NMCA,2019.0,28.0,4.0,72.8,655.0,3210.0,0.405,All-Terrain,-14.9,Cooling,86.4,372.8,3.0,84.0,Medium,,24.3,248.3
Audi,SUV,Wireless,4WD,,2016.0,104.7,6.0,90.6,238.0,1805.0,0.317,Low Rolling Resistance,39.0,Max Heat,104.6,249.9,6.0,358.0,Off,Eco,15.2,454.1
Hyundai,Van,Level 1,FWD,NMC,2022.0,87.8,4.0,,57.0,,0.319,Low Rolling Resistance,12.5,Cooling,98.5,252.3,5.0,353.0,Low,Chill,,479.8
BMW,Sports Car,Level 1,FWD,NCA,2019.0,107.5,6.0,70.2,462.0,,0.483,All-Terrain,4.2,Max Heat,101.5,-499.7,,189.0,Medium,Chill,33.7,253.3
NIO,Truck,Wireless,FWD,NMC,2024.0,,4.0,90.5,648.0,1670.0,0.355,All-Terrain,-1.0,Cooling,129.2,55.2,5.0,430.0,Off,Sport,,182.0
VW,Sedan,DC Fast Charge,AWD,NMCA,2021.0,37.4,4.0,,291.0,1877.0,0.469,,2.2,Cooling,21.3,-157.4,,13.0,Max,Off-Road,56.7,183.5
Audi,Truck,Supercharger,FWD,NCA,,26.1,3.0,86.6,496.0,1849.0,,Standard,,Max Heat,71.1,,5.0,328.0,Low,Eco,51.8,527.4
Tesla,Hatchback,Level 2,4WD,NMC,,,7.0,73.5,93.0,,0.406,Low Rolling Resistance,18.0,Max Cool,108.0,-27.5,6.0,,Max,Eco,78.9,162.1
VW,Sedan,DC Fast Charge,RWD,NCA,2017.0,32.1,1.0,65.2,520.0,3880.0,0.284,Low Rolling Resistance,-5.9,Cooling,45.7,149.4,1.0,100.0,Low,Normal,70.3,557.6
BYD,Sports Car,Level 2,FWD,LFP,2022.0,39.1,0.0,,118.0,,0.49,Performance,30.9,Cooling,34.5,-255.0,4.0,280.0,Max,Off-Road,24.6,92.6
Audi,Truck,DC Fast Charge,4WD,NMC,2024.0,97.2,5.0,78.4,71.0,1859.0,0.404,All-Terrain,20.7,Cooling,113.7,-142.7,6.0,114.0,Off,,,399.9
Rivian,SUV,Wireless,FWD,LFP,2024.0,37.3,1.0,,161.0,3881.0,0.364,Performance,-3.5,Heating,95.1,-380.1,4.0,,Low,Sport,58.5,655.0
Hyundai,Sedan,,4WD,NMC,,123.9,8.0,88.9,618.0,3214.0,0.266,Performance,12.9,,92.5,313.9,,404.0,Medium,Off-Road,26.1,104.6
BYD,Van,DC Fast Charge,4WD,LFP,2021.0,33.2,1.0,84.9,467.0,1983.0,0.344,Standard,,Max Cool,39.2,,2.0,,Medium,Normal,20.4,361.1
Audi,Van,Level 2,RWD,,,129.0,2.0,74.5,143.0,2436.0,0.296,Standard,-4.4,None,117.4,-418.3,2.0,464.0,,Chill,47.5,623.3
Audi,,Wireless,RWD,NCA,2021.0,98.3,0.0,99.5,454.0,1797.0,0.269,Standard,-3.5,Heating,69.3,,6.0,343.0,Off,Sport,19.0,373.6
Audi,Sedan,Level 1,AWD,LFP,2022.0,,,89.1,,,0.352,Low Rolling Resistance,,,104.9,115.8,1.0,476.0,Off,Off-Road,36.7,669.6
NIO,Sports Car,,FWD,,2018.0,63.6,9.0,,296.0,3136.0,0.46,Low Rolling Resistance,23.2,Cooling,23.4,95.7,5.0,83.0,Off,Chill,4.2,400.5
NIO ,Crossover,Supercharger,FWD,NMCA,2024.0,100.7,1.0,61.4,81.0,2757.0,0.283,Low Rolling Resistance,32.1,,50.3,176.8,6.0,142.0,Off,Eco,79.6,695.8
Rivian,,Level 1,4WD,NMCA,2020.0,57.3,3.0,83.2,,2441.0,,Performance,-5.2,Heating,29.8,,2.0,132.0,Medium,,,123.0
lucid,SUV,Wireless,AWD,NCA,2022.0,76.7,3.0,93.4,55.0,1927.0,0.377,,23.1,None,,270.6,2.0,287.0,Off,Chill,39.3,325.6
BMW,Truck,DC Fast Charge,FWD,NMCA,2019.0,34.0,1.0,75.2,365.0,1799.0,0.306,Low Rolling Resistance,35.4,Cooling,83.8,421.0,2.0,108.0,Medium,Eco,20.5,504.4
BYD ,SUV,Level 1,FWD,NMCA,2016.0,41.8,1.0,97.6,442.0,2850.0,0.25,,3.2,Max Cool,85.9,115.9,6.0,,High,Off-Road,59.7,360.7
POLESTAR,Sedan,Level 2,RWD,LFP,2022.0,79.4,2.0,90.7,,2588.0,0.324,Standard,-2.8,None,67.8,-298.1,,43.0,Off,,70.6,272.0
NIO,SUV,Level 2,AWD,NMCA,2015.0,,9.0,96.9,563.0,1205.0,0.425,Standard,-18.5,Max Heat,97.3,74.8,2.0,308.0,Off,Eco,12.9,488.5
,Sedan,Supercharger,RWD,NCA,,78.9,8.0,74.7,118.0,1612.0,0.37,Low Rolling Resistance,41.8,None,85.8,360.9,5.0,36.0,Medium,Sport,6.9,153.5
byd,,DC Fast Charge,FWD,NMCA,2019.0,72.1,2.0,76.8,401.0,3409.0,0.278,Low Rolling Resistance,14.4,Cooling,88.3,-449.4,1.0,481.0,High,Sport,29.5,84.9
Tesla,Truck,Level 2,AWD,,2016.0,76.7,7.0,77.4,73.0,3924.0,0.304,Low Rolling Resistance,,Max Heat,47.2,,2.0,202.0,Low,Chill,61.2,101.7
VW,Van,Level 2,RWD,NMCA,2015.0,126.8,4.0,,272.0,3109.0,0.304,Low Rolling Resistance,26.3,None,97.8,141.4,4.0,,Off,Eco,28.8,266.7
BMW,Sports Car,Level 2,4WD,Solid State,2021.0,43.3,4.0,61.7,233.0,1526.0,0.288,Low Rolling Resistance,2.6,None,73.4,466.0,,22.0,Low,Sport,10.1,239.7
