tenure_months,monthly_charge_usd,data_usage_gb,calls_per_month,plan_type,churned,complaints_count,contract_type,payment_method,tech_support_calls
66.0,59.41,8.87,100.0,Basic,0.0,5.0,monthly,Auto Pay,15.0
35.0,52.15,21.95,285.0,Family,0.0,,monthly,MANUAL,3.0
68.0,80.56,3.49,402.0,basic,1.0,8.0,No Contract,Auto Pay,13.0
50.0,,9.04,330.0,Unlimited,0.0,0.0,Monthly,,1.0
51.0,36.91,,260.0,Unlimited,0.0,3.0,No Contract,auto pay,16.0
41.0,114.18,10.09,29.0,Standard,0.0,0.0,Annual,Manual,0.0
1.0,48.35,0.1,79.0,PREMIUM,0.0,4.0,,Credit Card,13.0
23.0,76.68,10.78,75.0,Standard,1.0,9.0,No Contract,Auto Pay,10.0
53.0,99.97,6.43,10000.0,Family,0.0,1.0,Monthly,Credit Card,2.0
44.0,58.0,11.9,136.0,Unlimited,0.0,6.0,Annual,Auto Pay,6.0
36.0,51.42,7.37,118.0,Unlimited,0.0,8.0,monthly,auto pay,17.0
60.0,61.64,5.94,263.0,Premium,0.0,6.0,monthly,Auto Pay,3.0
32.0,63.85,6.41,27.0,Standard,0.0,8.0,2-Year,Credit Card,4.0
15.0,79.05,3.34,319.0,Basic,,0.0,Annual,Bank Transfer,4.0
8.0,61.52,6.48,290.0,Family,0.0,5.0,Annual,auto pay,2.0
4.0,75.2,,435.0,basic,0.0,3.0,Annual,auto pay,2.0
-5.0,35.01,5.0,307.0,Basic,0.0,2.0,Monthly,Credit Card,14.0
30.0,79.52,1.09,196.0,,,1.0,No Contract,Credit Card,12.0
6.0,,28.68,355.0,PREMIUM,0.0,2.0,Annual,Bank Transfer,15.0
3.0,65.48,13.02,84.0,Premium,0.0,7.0,No Contract,MANUAL,12.0
50.0,76.13,18.3,204.0,Basic,0.0,5.0,ANNUAL,MANUAL,0.0
34.0,57.14,11.57,202.0,Unlimited,1.0,,ANNUAL,Manual,0.0
40.0,55.03,2.44,418.0,Unlimited,0.0,8.0,ANNUAL,Auto Pay,11.0
52.0,74.45,9.8,266.0,PREMIUM,0.0,2.0,monthly,Manual,6.0
62.0,106.62,15.85,483.0,Standard,1.0,6.0,Monthly,MANUAL,9.0
5.0,,15.18,217.0,Standard,0.0,8.0,Annual,auto pay,4.0
,77.68,0.76,23.0,basic,0.0,6.0,ANNUAL,MANUAL,6.0
12.0,47.51,1.67,,PREMIUM,0.0,4.0,Monthly,auto pay,17.0
35.0,37.26,0.68,99.0,PREMIUM,0.0,6.0,Monthly,MANUAL,
66.0,38.87,10.27,156.0,Standard,0.0,8.0,2-Year,MANUAL,10.0
,71.24,4.03,407.0,Premium,0.0,5.0,monthly,MANUAL,16.0
9.0,47.22,5.6,53.0,Standard,0.0,2.0,ANNUAL,MANUAL,6.0
24.0,18.59,0.67,187.0,Unlimited,0.0,8.0,monthly,auto pay,8.0
13.0,84.52,0.39,268.0,Family,0.0,2.0,Annual,auto pay,13.0
64.0,90.33,11.79,419.0,basic,0.0,6.0,ANNUAL,auto pay,
15.0,44.06,12.3,356.0,basic,0.0,0.0,ANNUAL,Bank Transfer,13.0
35.0,103.37,,344.0,PREMIUM,1.0,9.0,Monthly,MANUAL,0.0
43.0,58.55,6.81,193.0,Standard,0.0,7.0,ANNUAL,Auto Pay,
29.0,41.45,6.96,414.0,Basic,0.0,2.0,ANNUAL,,6.0
24.0,48.22,4.44,131.0,Basic,1.0,4.0,monthly,Manual,4.0
59.0,85.32,0.29,166.0,basic,0.0,4.0,Annual,Manual,12.0
,91.32,4.79,212.0,Premium,0.0,0.0,ANNUAL,Manual,9.0
26.0,76.31,5.24,428.0,,0.0,9.0,Annual,Bank Transfer,4.0
19.0,46.72,16.91,237.0,basic,0.0,0.0,ANNUAL,Credit Card,4.0
67.0,79.76,4.5,330.0,Unlimited,0.0,2.0,monthly,Bank Transfer,13.0
54.0,36.61,8.79,25.0,Standard,0.0,2.0,2-Year,MANUAL,1.0
40.0,82.86,7.46,324.0,PREMIUM,0.0,6.0,ANNUAL,auto pay,16.0
52.0,60.46,7.8,175.0,Basic,0.0,5.0,Annual,Auto Pay,4.0
1000.0,74.05,14.07,241.0,Family,0.0,5.0,,MANUAL,2.0
28.0,29.68,6.92,1.0,Standard,1.0,9.0,Monthly,Auto Pay,6.0
25.0,,7.13,407.0,Basic,0.0,1.0,Annual,Credit Card,8.0
56.0,73.21,3.06,271.0,Basic,0.0,9.0,2-Year,Auto Pay,5.0
30.0,127.67,5.89,284.0,Family,0.0,5.0,monthly,MANUAL,11.0
61.0,65.9,28.87,475.0,Basic,0.0,8.0,No Contract,Credit Card,13.0
55.0,113.05,6.59,,Standard,1.0,7.0,Annual,Bank Transfer,16.0
0.0,84.43,14.24,485.0,Family,1.0,5.0,Annual,Credit Card,11.0
0.0,29.28,1.11,362.0,Unlimited,1.0,9.0,monthly,Credit Card,15.0
3.0,77.47,1.35,360.0,basic,0.0,,2-Year,Manual,14.0
43.0,44.18,2.63,353.0,Family,1.0,8.0,No Contract,Auto Pay,8.0
18.0,25.8,,355.0,Family,1.0,0.0,Annual,Manual,16.0
19.0,87.13,2.1,165.0,Premium,0.0,9.0,Monthly,Auto Pay,16.0
18.0,-50.0,8.0,96.0,Standard,0.0,3.0,ANNUAL,Manual,2.0
21.0,77.19,14.5,11.0,basic,0.0,5.0,No Contract,auto pay,19.0
21.0,13.91,12.4,259.0,Premium,0.0,1.0,Monthly,,2.0
59.0,-50.0,19.18,,basic,1.0,3.0,Annual,Manual,7.0
47.0,66.49,0.37,125.0,basic,0.0,9.0,Annual,Bank Transfer,3.0
36.0,42.05,8.93,250.0,Basic,0.0,3.0,2-Year,Manual,13.0
63.0,59.21,9.39,285.0,Standard,0.0,8.0,No Contract,auto pay,18.0
,62.29,15.9,76.0,Standard,0.0,5.0,Monthly,Auto Pay,19.0
11.0,84.72,6.16,100.0,Basic,0.0,4.0,monthly,,
49.0,54.09,7.79,323.0,Standard,0.0,0.0,Monthly,Auto Pay,0.0
32.0,68.94,9.65,17.0,Unlimited,0.0,3.0,ANNUAL,,16.0
36.0,51.7,4.49,220.0,basic,1.0,8.0,2-Year,,11.0
3.0,51.14,4.2,85.0,Family,0.0,,2-Year,Auto Pay,18.0
38.0,38.27,7.68,132.0,Unlimited,1.0,1.0,Monthly,Credit Card,3.0
46.0,101.9,8.96,24.0,basic,,3.0,monthly,Bank Transfer,15.0
22.0,55.58,11.18,349.0,Premium,0.0,6.0,ANNUAL,MANUAL,11.0
37.0,82.23,1.62,379.0,Standard,0.0,1.0,Annual,MANUAL,
36.0,79.02,3.15,21.0,Basic,0.0,8.0,monthly,Bank Transfer,19.0
15.0,118.83,8.32,,Basic,0.0,9.0,Monthly,auto pay,10.0
,124.19,13.43,486.0,Premium,0.0,4.0,monthly,,0.0
52.0,84.05,2.74,2.0,Standard,0.0,3.0,2-Year,Bank Transfer,12.0
0.0,37.78,13.0,484.0,,0.0,5.0,No Contract,Auto Pay,18.0
14.0,114.93,11.78,393.0,Standard,0.0,2.0,2-Year,MANUAL,3.0
60.0,81.28,6.53,152.0,Basic,1.0,5.0,No Contract,Auto Pay,17.0
11.0,87.38,8.79,246.0,Family,1.0,3.0,2-Year,,
37.0,69.85,2.2,102.0,Family,1.0,8.0,monthly,,10.0
56.0,22.15,19.29,463.0,Family,0.0,1.0,2-Year,Manual,15.0
30.0,31.15,17.46,395.0,,0.0,1.0,Annual,auto pay,12.0
37.0,39.03,5.1,434.0,Family,0.0,0.0,,Bank Transfer,3.0
41.0,74.02,5.85,333.0,Basic,0.0,3.0,Monthly,Manual,8.0
28.0,87.72,15.07,278.0,Basic,0.0,1.0,2-Year,Bank Transfer,11.0
53.0,51.46,1.14,488.0,Family,,0.0,No Contract,Credit Card,18.0
23.0,44.07,0.04,372.0,Family,0.0,2.0,ANNUAL,Bank Transfer,14.0
43.0,25.56,20.44,412.0,basic,0.0,9.0,No Contract,Credit Card,12.0
39.0,78.2,9.92,33.0,Unlimited,0.0,9.0,Monthly,Manual,19.0
0.0,30.35,19.33,151.0,PREMIUM,1.0,1.0,2-Year,auto pay,2.0
41.0,57.68,4.96,105.0,Family,0.0,,monthly,auto pay,12.0
69.0,79.65,1.22,319.0,basic,0.0,8.0,2-Year,Manual,10.0
48.0,51.6,0.78,163.0,basic,1.0,4.0,No Contract,Bank Transfer,5.0
8.0,77.51,1.19,380.0,Premium,0.0,2.0,No Contract,Bank Transfer,18.0
1.0,8.73,11.62,101.0,PREMIUM,0.0,9.0,No Contract,Manual,5.0
13.0,,0.39,268.0,Family,0.0,2.0,Annual,auto pay,
65.0,,1.35,305.0,Standard,1.0,0.0,Annual,Credit Card,17.0
54.0,127.47,4.6,176.0,Basic,0.0,7.0,monthly,auto pay,9.0
63.0,39.8,4.38,440.0,basic,0.0,7.0,monthly,Bank Transfer,8.0
61.0,64.53,3.31,161.0,Standard,0.0,9.0,ANNUAL,MANUAL,15.0
61.0,101.19,,310.0,PREMIUM,0.0,6.0,Annual,Manual,3.0
44.0,76.61,3.99,121.0,Basic,0.0,0.0,Monthly,,10.0
19.0,107.96,0.66,185.0,Standard,0.0,1.0,monthly,Manual,10.0
70.0,71.36,0.97,215.0,basic,1.0,9.0,Monthly,MANUAL,11.0
5.0,117.97,15.18,217.0,Standard,0.0,,Annual,auto pay,4.0
14.0,45.77,,254.0,Basic,0.0,6.0,ANNUAL,auto pay,7.0
14.0,87.59,4.42,368.0,basic,1.0,5.0,,Auto Pay,14.0
66.0,88.56,1.05,408.0,Standard,0.0,2.0,2-Year,Manual,5.0
71.0,82.86,0.68,,Family,0.0,4.0,2-Year,Bank Transfer,19.0
54.0,71.32,1.77,193.0,basic,1.0,2.0,2-Year,Credit Card,8.0
1000.0,74.05,14.07,241.0,Family,0.0,5.0,Monthly,MANUAL,
52.0,52.57,5.91,356.0,Basic,0.0,5.0,Monthly,auto pay,4.0
13.0,104.76,12.02,171.0,Basic,0.0,1.0,Annual,Manual,8.0
60.0,51.46,7.01,205.0,,0.0,1.0,,Credit Card,19.0
28.0,79.14,0.36,44.0,PREMIUM,0.0,1.0,2-Year,MANUAL,10.0
58.0,116.97,10.98,1.0,Standard,0.0,3.0,Monthly,MANUAL,7.0
61.0,96.63,0.73,59.0,Premium,1.0,,No Contract,Auto Pay,2.0
29.0,34.79,12.49,349.0,basic,0.0,7.0,No Contract,Manual,0.0
48.0,98.52,2.87,77.0,basic,0.0,8.0,Annual,Credit Card,0.0
32.0,76.45,9.65,342.0,Premium,0.0,5.0,Monthly,MANUAL,1.0
25.0,52.73,2.39,389.0,basic,1.0,0.0,2-Year,auto pay,2.0
55.0,77.62,,304.0,Premium,0.0,7.0,ANNUAL,Auto Pay,4.0
69.0,68.67,1.64,148.0,Unlimited,0.0,2.0,,Manual,8.0
22.0,39.23,16.42,406.0,Basic,0.0,7.0,monthly,MANUAL,10.0
32.0,36.57,3.54,171.0,Unlimited,0.0,1.0,ANNUAL,Auto Pay,1.0
49.0,109.5,12.26,496.0,Basic,0.0,3.0,No Contract,Credit Card,14.0
21.0,-50.0,17.26,262.0,Standard,0.0,2.0,No Contract,Bank Transfer,10.0
59.0,72.64,9.71,491.0,PREMIUM,1.0,1.0,Monthly,Bank Transfer,10.0
12.0,22.02,1.91,311.0,basic,0.0,1.0,monthly,Credit Card,7.0
49.0,49.13,1.06,345.0,Premium,1.0,3.0,Annual,Credit Card,15.0
46.0,71.21,3.85,141.0,Family,,0.0,No Contract,Manual,16.0
22.0,42.05,10.18,85.0,PREMIUM,0.0,6.0,No Contract,Manual,7.0
,49.98,2.04,187.0,Unlimited,0.0,7.0,2-Year,Auto Pay,4.0
39.0,56.25,14.34,95.0,Basic,0.0,5.0,monthly,Manual,16.0
35.0,89.99,18.95,77.0,Unlimited,0.0,6.0,Monthly,Auto Pay,8.0
34.0,66.21,19.72,150.0,basic,,9.0,No Contract,Auto Pay,13.0
16.0,60.97,2.54,18.0,Family,0.0,4.0,monthly,auto pay,18.0
62.0,,9.28,242.0,Unlimited,0.0,7.0,No Contract,Auto Pay,12.0
,88.19,0.52,18.0,Premium,1.0,2.0,monthly,Auto Pay,19.0
46.0,35.36,3.64,,PREMIUM,0.0,2.0,Annual,,7.0
13.0,29.58,8.67,207.0,basic,0.0,100.0,No Contract,Bank Transfer,4.0
53.0,79.43,2.84,362.0,PREMIUM,1.0,2.0,monthly,Credit Card,9.0
48.0,70.26,13.38,408.0,Family,0.0,8.0,ANNUAL,MANUAL,8.0
19.0,78.57,1.33,475.0,Unlimited,1.0,,monthly,Auto Pay,2.0
37.0,44.64,,245.0,Family,0.0,0.0,,auto pay,8.0
69.0,45.6,15.99,441.0,Unlimited,0.0,8.0,2-Year,Credit Card,18.0
20.0,39.85,4.68,,Standard,0.0,,Monthly,auto pay,2.0
41.0,,2.9,147.0,Family,1.0,0.0,2-Year,auto pay,6.0
36.0,27.44,1.89,467.0,Premium,1.0,1.0,monthly,auto pay,18.0
0.0,63.93,4.14,338.0,Standard,1.0,0.0,Annual,Manual,
33.0,59.08,6.6,478.0,Premium,0.0,2.0,Monthly,MANUAL,11.0
43.0,62.48,2.44,92.0,Unlimited,0.0,,Annual,Auto Pay,13.0
29.0,68.81,0.84,267.0,PREMIUM,1.0,5.0,Annual,auto pay,12.0
,84.29,4.45,389.0,PREMIUM,1.0,4.0,ANNUAL,,
50.0,33.73,1.06,72.0,Unlimited,,5.0,2-Year,Auto Pay,11.0
65.0,33.58,14.33,185.0,Family,0.0,4.0,Monthly,Manual,19.0
69.0,62.06,12.13,368.0,Family,1.0,9.0,monthly,auto pay,6.0
14.0,43.24,1.93,321.0,Standard,0.0,4.0,ANNUAL,Credit Card,1.0
11.0,41.54,36.91,404.0,basic,0.0,1.0,Monthly,Bank Transfer,0.0
44.0,67.37,4.33,79.0,Unlimited,0.0,7.0,No Contract,Manual,16.0
3.0,55.77,16.32,,Family,1.0,9.0,monthly,Credit Card,19.0
38.0,-0.21,6.05,488.0,Premium,0.0,,Annual,Bank Transfer,6.0
3.0,69.17,12.28,159.0,Premium,0.0,0.0,Monthly,Credit Card,
23.0,129.9,9.7,87.0,basic,,6.0,ANNUAL,auto pay,6.0
4.0,51.5,7.47,215.0,Unlimited,0.0,7.0,ANNUAL,auto pay,8.0
27.0,,19.09,269.0,Standard,0.0,,Annual,,9.0
32.0,53.5,4.47,33.0,Unlimited,0.0,6.0,Annual,,3.0
41.0,46.07,2.23,,Family,0.0,1.0,Annual,Manual,7.0
